node,score
TP53,0.09505020690887331
MYC,0.09495890109431501
AKT1,0.0948889385759325
PTEN,0.0948512949529757
EGFR,0.09482705927833517
BRCA1,0.09479024371641386
CDK2,0.09471072822582886
MTOR,0.09469459194292176
MAPK1,0.09462694447207569
JUN,0.0004913801916037211
HSP90AA1,0.0004902536036901498
BCL2,0.00048428269451639215
ESR1,0.00048351614491847796
FOXO3,0.0004442822373004729
ACTB,0.00044248571947352964
FOXO1,0.0004378356564420849
HIF1A,0.0004374832010786893
GAPDH,0.0004368869684671775
CASP3,0.00043602725877090603
CCND1,0.00042526510119903535
CTNNB1,0.0004225833256547634
STAT3,0.0004129245397319308
GSK3B,0.0004110297344013027
CDKN1A,0.0004012572944481905
PIK3CA,0.0003996601740220847
KRAS,0.0003983986541998458
CDKN2A,0.0003955078143229501
MAPK3,0.00038646384906469694
HSP90AB1,0.00038104890386062284
SRC,0.00037581360323604257
INS,0.00035339851265774524
CDKN1B,0.00035281018958724256
CHEK1,0.00034742820233218735
CASP8,0.00034099312172564827
UBC,0.00034072496978968767
MDM2,0.00033950524844689824
NFKB1,0.00033309126991949104
E2F1,0.0003329529135993918
AKT2,0.00033057112107157
PARP1,0.0003277115021992569
STAT1,0.0003267004131387794
AKT3,0.00032648964568829207
EZH2,0.00032626470056201074
EP300,0.0003246996576909139
ATM,0.00031394822515541437
ERBB2,0.0003096801227695557
CREBBP,0.00030800926918244205
JAK2,0.00030762259373127597
RICTOR,0.00030705445004265393
NRAS,0.00030701531509491446
PPARG,0.00030202204768933874
SIRT1,0.0003012380019323681
SMAD3,0.0003010461553512043
STAT5A,0.00029903423270738976
IL6,0.0002964827236132855
RPS27A,0.00029621147954387564
SKP2,0.0002919838985345581
STK11,0.000291120303271433
PIK3R1,0.0002901521583721383
TSC2,0.00028942336584502335
IGF1,0.0002842755379950327
CDK1,0.00028255542040209387
RPS6KB1,0.0002803899863578799
CASP9,0.00027885865231664953
FOS,0.0002758184016112995
CDK4,0.0002750737762551672
EGF,0.00027312820976438086
BRCA2,0.00027242679736482823
RHOA,0.0002722718706956028
CCNB1,0.00027116228987640384
SMAD4,0.00027007347862221447
HRAS,0.0002699462655940064
FOXO4,0.00026601412649995056
PLK1,0.00026426817223766295
MAPK8,0.00026285023865939674
RB1,0.00026259283779650645
TSC1,0.0002605145484436107
IKBKB,0.00025658647636709
CHUK,0.0002552342700298424
IGF1R,0.00025455201296587415
AURKA,0.0002536416180991453
RELA,0.00024838055591544094
TERT,0.0002466881754259879
IRS1,0.0002443002075193386
AR,0.000243190284705419
CREB1,0.00024078812621063398
H3-4,0.0002386673816452919
IL10,0.00023862456602850304
BRAF,0.0002338317126789783
MCL1,0.00023320268326553539
RAD51,0.0002311910799241196
CD274,0.00022956396913173679
PIK3CB,0.0002291250198532977
EGR1,0.0002282112792858207
CCNE1,0.00022778525189635958
PIK3R2,0.00022768674085988635
HSPA4,0.00022760539681519713
PIK3R3,0.00022736136020193046
NPM1,0.00022613092282383886
PIK3CD,0.00022496134087833468
BCL2L1,0.00022450877546773834
MAPK14,0.00022284306070908508
CDK6,0.00022281174838875887
PGR,0.00021999758101888832
PIK3CG,0.00021892207521988555
PRKCZ,0.00021762359416498036
GRB2,0.0002158909639904504
FBXW7,0.00021566461487091621
TNF,0.00021111048934889997
MLH1,0.0002107166769543952
RPTOR,0.0002092237132044056
PRKCA,0.00020859232345145012
ABL1,0.00020798423522470086
RPS6,0.00020740945728402183
PLCG1,0.0002067037239534185
CDC25C,0.00020645495295262
IL1B,0.00020607576390907647
PTPN11,0.00020578471093537446
H4C6,0.00020574386405384937
CDH1,0.00020548196950356977
NFE2L2,0.00020401341697698716
CD44,0.0002037671337368563
SMAD2,0.000203350645479682
HDAC1,0.00020122763369642279
MMP9,0.0002009795287567677
SOX2,0.00020062672006501166
H2AX,0.0001992967938548756
FGF2,0.0001984810319287404
XRCC6,0.00019764016493386874
TP53BP1,0.00019732705020571626
CDC25A,0.00019670297530839038
CCND2,0.00019662626274336343
SNAI1,0.00019661431803029577
PXN,0.0001958921952805057
PTGS2,0.0001956118650671913
NOTCH1,0.00019547476064100855
PXDN,0.00019503893862944684
PXDNL,0.0001944352561954439
E2F4,0.00019375622965526833
RHEB,0.00019364313984977877
STUB1,0.00019360732190681774
CUL1,0.00019270017009741418
H3-3B,0.00019012792620912977
NF1,0.0001901118024249586
RPS6KB2,0.00018937626690894728
PDPK1,0.00018860860979318244
FN1,0.00018836460408582853
MAP3K1,0.00018831396000896296
EIF4EBP1,0.0001878286016447609
RAF1,0.00018358235062408308
BECN1,0.0001832419077013887
FKBP5,0.00018286177170961785
ERBB3,0.0001818945636121035
CALML5,0.00018071950311272574
PRKDC,0.00018062130695786465
SMARCA4,0.00017875409447516274
EPAS1,0.00017784388180335563
BMI1,0.00017765646455989898
H2BC21,0.000175958497087611
CDH2,0.00017489433903620204
MSH2,0.0001747443824402312
SFN,0.0001732134832851289
EIF4E,0.0001714557000752485
